edge_id,floor_id,from_node,to_node,distance_m,edge_type,accessible,bidirectional
E0001,F1,ellipse33,ellipse31,4.8470,corridor,1,1
E0002,F1,ellipse31,ellipse28,3.7096,corridor,1,1
E0003,F1,ellipse28,ellipse32,3.7133,corridor,1,1
E0004,F1,ellipse32,ellipse34,4.6933,corridor,1,1
E0005,F1,ellipse33,ellipse35,2.2102,corridor,1,1
E0006,F1,ellipse35,ellipse36,3.1156,corridor,1,1
E0007,F1,ellipse36,ellipse34,2.2379,corridor,1,1
E0008,F1,ellipse35,STAIRS1-F1,1.4402,stair,0,1
E0009,F1,ellipse33,STAIRS1-F1,1.3292,stair,0,1
E0010,F1,ellipse36,STAIRS2-F1,1.4092,stair,0,1
E0011,F1,ellipse34,STAIRS2-F1,1.4057,stair,0,1
E0012,F1,ellipse35,ellipse37,4.0951,corridor,1,1
E0013,F1,ellipse37,ellipse50,3.0428,corridor,1,1
E0014,F1,ellipse50,ellipse49,1.3194,corridor,1,1
E0015,F1,ellipse49,137,0.7188,room_access,1,1
E0016,F1,ellipse36,ellipse50,3.9551,corridor,1,1
E0017,F1,ellipse33,LIFT3-F1,1.8164,lift,1,1
E0018,F1,ellipse33,ellipse43,2.6250,corridor,1,1
E0019,F1,ellipse43,145-1,1.0156,room_access,1,1
E0020,F1,ellipse43,ellipse53,3.0121,corridor,1,1
E0021,F1,ellipse53,145-2,1.0301,room_access,1,1
E0022,F1,ellipse53,ellipse54,3.2441,corridor,1,1
E0023,F1,ellipse54,134,0.4982,room_access,1,1
E0024,F1,ellipse54,ellipse55,1.1223,corridor,1,1
E0025,F1,ellipse55,133,0.8793,room_access,1,1
E0026,F1,ellipse55,132,1.6036,room_access,1,1
E0027,F1,ellipse54,ellipse38,4.5405,corridor,1,1
E0028,F1,ellipse38,135,0.7097,room_access,1,1
E0029,F1,ellipse38,ellipse37,4.3506,corridor,1,1
E0030,F1,ellipse53,ellipse14309,1.4768,corridor,1,1
E0031,F1,ellipse14309,131,0.5711,room_access,1,1
E0032,F1,ellipse14309,ellipse14311,2.7818,corridor,1,1
E0033,F1,ellipse14311,ellipse14310,0.8122,corridor,1,1
E0034,F1,ellipse14310,ellipse10,0.4796,corridor,1,1
E0035,F1,ellipse34,LIFT2-F1,1.6163,lift,1,1
E0036,F1,ellipse34,143,1.9399,room_access,1,1
E0037,F1,ellipse34,ellipse44,2.6238,corridor,1,1
E0038,F1,ellipse44,143-A,0.6915,room_access,1,1
E0039,F1,ellipse44,ellipse14321,0.7197,corridor,1,1
E0040,F1,ellipse14321,141-1,0.6216,room_access,1,1
E0041,F1,ellipse14321,ellipse45,3.6061,corridor,1,1
E0042,F1,ellipse45,141-2,0.5818,room_access,1,1
E0043,F1,ellipse45,ellipse46,0.8319,corridor,1,1
E0044,F1,ellipse46,STAIRS3-F1,0.9320,stair,0,1
E0045,F1,ellipse46,ellipse14323,1.9390,corridor,1,1
E0046,F1,ellipse14323,LIFT1-F1,0.4718,lift,1,1
E0047,F1,ellipse14323,ellipse47,0.9568,corridor,1,1
E0048,F1,ellipse47,139,1.2722,room_access,1,1
E0049,F1,ellipse47,140,3.5196,room_access,1,1
E0050,F1,ellipse47,ellipse48,4.1109,corridor,1,1
E0051,F1,ellipse48,138,0.7691,room_access,1,1
E0052,F1,ellipse48,ellipse49,4.3688,corridor,1,1
E0053,F1,ellipse37,136,0.7460,room_access,1,1
E0054,F1,ellipse50,ellipse52,1.7126,corridor,1,1
E0055,F1,ellipse52,ellipse37,1.5451,corridor,1,1
