node_id,floor_id,node_type,x,y,location_id,source_svg_id
728,F7,room,503.782634,1241.373551,728,728
729,F7,room,368.500345,1321.681017,729,729
730,F7,room,337.653092,1259.986659,730,730
731,F7,room,358.517707,1221.255416,731,731
732,F7,room,358.209649,1048.329592,732,732
734,F7,room,359.790285,883.151691,734,734
735,F7,room,363.319482,720.090422,735,735
736,F7,room,363.937664,553.030813,736,736
737,F7,room,349.641938,404.463593,737,737
738,F7,room,531.353331,398.723046,738,738
LIFT1-F7,F7,lift,433.784799,415.117349,,LIFT1-F7
LIFT2-F7,F7,lift,548.945046,623.509750,,LIFT2-F7
LIFT3-F7,F7,lift,544.227837,1038.945706,,LIFT3-F7
STAIRS3-F7,F7,stair,505.998719,363.432930,,STAIRS3-F7
STAIRS2-F7,F7,stair,576.924442,728.177445,,STAIRS2-F7
STAIRS1-F7,F7,stair,575.225421,931.135781,,STAIRS1-F7
ellipse10,F7,corridor,573.899144,1310.146446,,ellipse10
ellipse28,F7,corridor,729.947475,830.013520,,ellipse28
ellipse31,F7,corridor,727.621926,970.198384,,ellipse31
ellipse32,F7,corridor,724.905031,689.794091,,ellipse32
ellipse33,F7,corridor,543.411796,970.309363,,ellipse33
ellipse34,F7,corridor,546.640853,684.559714,,ellipse34
ellipse35,F7,corridor,543.720867,886.779558,,ellipse35
ellipse36,F7,corridor,542.392751,769.048003,,ellipse36
ellipse37,F7,corridor,388.142491,883.284963,,ellipse37
ellipse38,F7,corridor,385.177944,1047.687298,,ellipse38
ellipse43,F7,corridor,504.514290,1061.845952,,ellipse43
ellipse44,F7,corridor,508.711032,593.034393,,ellipse44
ellipse45,F7,corridor,512.486919,429.653280,,ellipse45
ellipse46,F7,corridor,507.626496,398.611517,,ellipse46
ellipse47,F7,corridor,397.597260,398.094317,,ellipse47
ellipse48,F7,corridor,393.161799,553.412311,,ellipse48
ellipse49,F7,corridor,390.597537,718.508832,,ellipse49
ellipse50,F7,corridor,392.085002,768.341471,,ellipse50
ellipse52,F7,corridor,367.929305,828.556207,,ellipse52
ellipse53,F7,corridor,492.622082,1175.118969,,ellipse53
ellipse54,F7,corridor,377.342369,1219.140415,,ellipse54
ellipse55,F7,corridor,371.045473,1261.120572,,ellipse55
ellipse14309,F7,corridor,517.834769,1224.859850,,ellipse14309
ellipse14310,F7,corridor,589.618406,1300.894111,,ellipse14310
ellipse14311,F7,corridor,609.297394,1277.153130,,ellipse14311
ellipse14321,F7,corridor,511.181181,565.934958,,ellipse14321
ellipse14323,F7,corridor,433.955562,397.288251,,ellipse14323
733,F7,room,479.900000,1039.400000,733,733
740,F7,room,565.200000,759.700000,740,740
