edge_id,floor_id,from_node,to_node,distance_m,edge_type,accessible,bidirectional
E0001,F7,ellipse33,ellipse31,4.8742,corridor,1,1
E0002,F7,ellipse31,ellipse28,3.7098,corridor,1,1
E0003,F7,ellipse28,ellipse32,3.7126,corridor,1,1
E0004,F7,ellipse32,ellipse34,4.7189,corridor,1,1
E0005,F7,ellipse33,ellipse35,2.2102,corridor,1,1
E0006,F7,ellipse35,ellipse36,3.1154,corridor,1,1
E0007,F7,ellipse36,ellipse34,2.2384,corridor,1,1
E0008,F7,ellipse35,STAIRS1-F7,1.4396,stair,0,1
E0009,F7,ellipse33,STAIRS1-F7,1.3353,stair,0,1
E0010,F7,ellipse36,STAIRS2-F7,1.4158,stair,0,1
E0011,F7,ellipse34,STAIRS2-F7,1.4050,stair,0,1
E0012,F7,ellipse35,ellipse37,4.1176,corridor,1,1
E0013,F7,ellipse37,ellipse50,3.0432,corridor,1,1
E0014,F7,ellipse50,ellipse49,1.3192,corridor,1,1
E0015,F7,ellipse49,735,0.7230,room_access,1,1
E0016,F7,ellipse36,ellipse50,3.9772,corridor,1,1
E0017,F7,ellipse33,LIFT3-F7,1.8162,lift,1,1
E0018,F7,ellipse33,ellipse43,2.6317,corridor,1,1
E0019,F7,ellipse43,ellipse53,3.0137,corridor,1,1
E0020,F7,ellipse53,ellipse54,3.2651,corridor,1,1
E0021,F7,ellipse54,731,0.5012,room_access,1,1
E0022,F7,ellipse54,ellipse55,1.1232,corridor,1,1
E0023,F7,ellipse55,730,0.8841,room_access,1,1
E0024,F7,ellipse55,729,1.6038,room_access,1,1
E0025,F7,ellipse54,ellipse38,4.5414,corridor,1,1
E0026,F7,ellipse38,732,0.7138,room_access,1,1
E0027,F7,ellipse38,ellipse37,4.3508,corridor,1,1
E0028,F7,ellipse53,ellipse14309,1.4756,corridor,1,1
E0029,F7,ellipse14309,728,0.5737,room_access,1,1
E0030,F7,ellipse14309,ellipse14311,2.7877,corridor,1,1
E0031,F7,ellipse14311,ellipse14310,0.8159,corridor,1,1
E0032,F7,ellipse14310,ellipse10,0.4826,corridor,1,1
E0033,F7,ellipse34,LIFT2-F7,1.6165,lift,1,1
E0034,F7,ellipse34,ellipse44,2.6215,corridor,1,1
E0035,F7,ellipse44,ellipse14321,0.7200,corridor,1,1
E0036,F7,ellipse14321,ellipse45,3.6062,corridor,1,1
E0037,F7,ellipse45,ellipse46,0.8314,corridor,1,1
E0038,F7,ellipse46,STAIRS3-F7,0.9318,stair,0,1
E0039,F7,ellipse46,ellipse14323,1.9496,corridor,1,1
E0040,F7,ellipse14323,LIFT1-F7,0.4718,lift,1,1
E0041,F7,ellipse14323,ellipse47,0.9623,corridor,1,1
E0042,F7,ellipse47,737,1.2800,room_access,1,1
E0043,F7,ellipse47,738,3.5392,room_access,1,1
E0044,F7,ellipse47,ellipse48,4.1114,corridor,1,1
E0045,F7,ellipse48,736,0.7733,room_access,1,1
E0046,F7,ellipse48,ellipse49,4.3690,corridor,1,1
E0047,F7,ellipse37,734,0.7502,room_access,1,1
E0048,F7,ellipse50,ellipse52,1.7167,corridor,1,1
E0049,F7,ellipse52,ellipse37,1.5437,corridor,1,1
E0050,F7,733,ellipse43,0.8814,room_access,1,1
E0051,F7,740,ellipse36,0.6522,room_access,1,1
