edge_id,floor_id,from_node,to_node,distance_m,edge_type,accessible,bidirectional
E0001,F2,C01,C02,4.1110,corridor,1,1
E0002,F2,C02,C03,4.3689,corridor,1,1
E0003,F2,C03,C04,4.3601,corridor,1,1
E0004,F2,C04,C05,4.3507,corridor,1,1
E0005,F2,C05,C06,4.5405,corridor,1,1
E0006,F2,C06,C07,1.1223,corridor,1,1
E0007,F2,C07,C08,3.9755,corridor,1,1
E0008,F2,235,C01,1.2723,room_access,1,1
E0009,F2,234,C02,0.7692,room_access,1,1
E0010,F2,233,C03,0.7187,room_access,1,1
E0011,F2,232,C04,0.7461,room_access,1,1
E0012,F2,231,C05,0.7099,room_access,1,1
E0013,F2,230,C06,0.4982,room_access,1,1
E0014,F2,229,C07,0.8791,room_access,1,1
E0015,F2,228,C07,1.6037,room_access,1,1
E0016,F2,227,C08,0.5711,room_access,1,1
E0017,F2,C01,STAIRS3-F2,2.9919,stair,0,1
E0018,F2,C01,LIFT1-F2,1.0554,lift,1,1
E0019,F2,C01,C09,3.1400,corridor,1,1
E0020,F2,236,C09,0.3566,room_access,1,1
E0021,F2,C09,C10,3.6060,corridor,1,1
E0022,F2,C10,LIFT2-F2,1.8230,lift,1,1
E0023,F2,C03,C11,4.0699,corridor,1,1
E0024,F2,C10,C11,5.9265,corridor,1,1
E0025,F2,C11,238-A,0.6615,room_access,1,1
E0026,F2,C11,STAIRS2-F2,1.8424,stair,0,1
E0027,F2,C11,C12,1.5875,corridor,1,1
E0028,F2,C12,238,0.6615,room_access,1,1
E0029,F2,C12,C13,1.4552,corridor,1,1
E0030,F2,C13,STAIRS1-F2,1.2603,stair,0,1
E0031,F2,C13,LOWER_JUNCTION,4.1202,corridor,1,1
E0032,F2,LOWER_JUNCTION,239,0.5429,room_access,1,1
E0033,F2,LOWER_JUNCTION,LIFT3-F2,1.0461,lift,1,1
E0034,F2,LOWER_JUNCTION,C08,4.3912,corridor,1,1
