location_id,floor_id,code,name,type,searchable,public_access,description
235,F2,235,235,room,1,1,
234,F2,234,234,room,1,1,
233,F2,233,233,room,1,1,
232,F2,232,232,room,1,1,
231,F2,231,231,room,1,1,
230,F2,230,230,room,1,1,
229,F2,229,229,room,1,1,
228,F2,228,228,toilet,1,1,
227,F2,227,227,room,1,1,
236,F2,236,236,room,1,1,
237,F2,237,237,room,0,0,Electrical/service room; excluded from navigation.
238-A,F2,238-A,238-A,smart_classroom,1,1,
238,F2,238,238,smart_classroom,1,1,
239,F2,239,239,faculty_room,1,1,
240,F2,240,240,room,0,0,Electrical/service room; excluded from navigation.
