node_id,floor_id,node_type,x,y,location_id,source_svg_id
235,F2,room,329.350000,406.050000,235,235
234,F2,room,344.980000,554.560000,234,234
233,F2,room,345.960000,721.630000,233,233
232,F2,room,344.000000,884.710000,232,232
231,F2,room,344.000000,1049.910000,231,231
230,F2,room,345.960000,1222.840000,230,230
229,F2,room,325.580000,1261.670000,229,229
228,F2,room,356.840000,1323.230000,228,228
227,F2,room,490.610000,1242.280000,227,227
236,F2,room,505.000000,430.000000,236,236
238-A,F2,room,535.000000,790.000000,238-A,238-A
238,F2,room,535.000000,850.000000,238,238
239,F2,room,480.000000,1046.000000,239,239
LIFT1-F2,F2,lift,413.130000,416.310000,,LIFT1-F2
LIFT2-F2,F2,lift,529.640000,624.170000,,LIFT2-F2
LIFT3-F2,F2,lift,528.900000,1039.650000,,LIFT3-F2
STAIRS3-F2,F2,stair,484.450000,364.280000,,STAIRS3-F2
STAIRS2-F2,F2,stair,550.000000,733.000000,,STAIRS2-F2
STAIRS1-F2,F2,stair,547.000000,935.000000,,STAIRS1-F2
C01,F2,corridor,376.980000,399.450000,,C01
C02,F2,corridor,374.050000,554.800000,,C02
C03,F2,corridor,373.070000,719.920000,,C03
C04,F2,corridor,372.200000,884.710000,,C04
C05,F2,corridor,370.820000,1049.140000,,C05
C06,F2,corridor,364.660000,1220.640000,,C06
C07,F2,corridor,358.790000,1262.650000,,C07
C08,F2,corridor,504.430000,1225.700000,,C08
C09,F2,corridor,491.530000,430.480000,,C09
C10,F2,corridor,491.530000,566.770000,,C10
C11,F2,corridor,510.000000,790.000000,,C11
C12,F2,corridor,510.000000,850.000000,,C12
C13,F2,corridor,510.000000,905.000000,,C13
LOWER_JUNCTION,F2,corridor,495.000000,1060.000000,,LOWER_JUNCTION
