edge_id,floor_id,from_node,to_node,distance_m,edge_type,accessible,bidirectional
E0001,F6,ellipse33,ellipse35,2.2061,corridor,1,1
E0002,F6,ellipse35,ellipse36,3.1096,corridor,1,1
E0003,F6,ellipse36,ellipse34,2.2343,corridor,1,1
E0004,F6,ellipse35,STAIRS1-F6,1.4445,stair,0,1
E0005,F6,ellipse33,STAIRS1-F6,1.3412,stair,0,1
E0006,F6,ellipse36,STAIRS2-F6,1.4224,stair,0,1
E0007,F6,ellipse34,STAIRS2-F6,1.4096,stair,0,1
E0008,F6,ellipse35,ellipse37,4.1746,corridor,1,1
E0009,F6,ellipse37,ellipse50,3.0376,corridor,1,1
E0010,F6,ellipse50,ellipse49,1.3167,corridor,1,1
E0011,F6,ellipse49,633,0.7330,room_access,1,1
E0012,F6,ellipse36,ellipse50,4.0322,corridor,1,1
E0013,F6,ellipse33,LIFT3-F6,1.8129,lift,1,1
E0014,F6,ellipse33,ellipse43,2.6331,corridor,1,1
E0015,F6,ellipse43,ellipse641j,0.7650,corridor,1,1
E0016,F6,ellipse641j,ellipse53,2.2469,corridor,1,1
E0017,F6,ellipse53,ellipse54,3.3038,corridor,1,1
E0018,F6,ellipse54,629,0.5081,room_access,1,1
E0019,F6,ellipse54,ellipse55,1.1215,corridor,1,1
E0020,F6,ellipse55,628,0.8963,room_access,1,1
E0021,F6,ellipse55,627,1.6009,room_access,1,1
E0022,F6,ellipse54,ellipse38,4.5331,corridor,1,1
E0023,F6,ellipse38,630,0.7237,room_access,1,1
E0024,F6,ellipse38,ellipse37,4.3427,corridor,1,1
E0025,F6,ellipse53,ellipse14309,1.4776,corridor,1,1
E0026,F6,ellipse14309,626,0.5765,room_access,1,1
E0027,F6,ellipse14309,ellipse14311,2.8156,corridor,1,1
E0028,F6,ellipse14311,ellipse14310,0.8197,corridor,1,1
E0029,F6,ellipse14310,ellipse10,0.4874,corridor,1,1
E0030,F6,ellipse34,LIFT2-F6,1.6136,lift,1,1
E0031,F6,ellipse34,ellipse44,2.6227,corridor,1,1
E0032,F6,ellipse44,ellipse14321,0.7188,corridor,1,1
E0033,F6,ellipse14321,ellipse45,3.5995,corridor,1,1
E0034,F6,ellipse45,ellipse46,0.8301,corridor,1,1
E0035,F6,ellipse46,STAIRS3-F6,0.9301,stair,0,1
E0036,F6,ellipse46,ellipse14323,1.9766,corridor,1,1
E0037,F6,ellipse14323,LIFT1-F6,0.4709,lift,1,1
E0038,F6,ellipse14323,ellipse47,0.9756,corridor,1,1
E0039,F6,ellipse47,635,1.2974,room_access,1,1
E0040,F6,ellipse47,636,3.5882,room_access,1,1
E0041,F6,ellipse47,ellipse48,4.1038,corridor,1,1
E0042,F6,ellipse48,634,0.7840,room_access,1,1
E0043,F6,ellipse48,ellipse49,4.3609,corridor,1,1
E0044,F6,ellipse37,632,0.7606,room_access,1,1
E0045,F6,631-2,ellipse43,0.8874,room_access,1,1
E0046,F6,639,ellipse36,0.6598,room_access,1,1
E0047,F6,631-1,ellipse38,0.5026,room_access,1,1
E0048,F6,637-1,ellipse45,0.5203,room_access,1,1
E0049,F6,637-2,ellipse44,0.5819,room_access,1,1
E0050,F6,641-1,ellipse641j,0.4498,room_access,1,1
E0051,F6,641-2,ellipse53,0.6564,room_access,1,1
