node_id,floor_id,node_type,x,y,location_id,source_svg_id
626,F6,room,431.008885,1238.301229,626,626
627,F6,room,293.846348,1318.464120,627,627
628,F6,room,262.570358,1256.880828,628,628
629,F6,room,283.724964,1218.219311,629,629
630,F6,room,283.412624,1045.604799,630,630
631-2,F6,room,406.794313,1036.691283,631,631-2
632,F6,room,285.015229,880.724261,632,632
633,F6,room,288.593477,717.956545,633,633
634,F6,room,289.220251,551.197687,634,634
635,F6,room,274.725833,402.897926,635,635
636,F6,room,458.962779,397.167714,636,636
639,F6,room,493.279872,757.494815,639,639
LIFT1-F6,F6,lift,360.038171,413.532503,,LIFT1-F6
LIFT2-F6,F6,lift,476.798996,621.549743,,LIFT2-F6
LIFT3-F6,F6,lift,472.016223,1036.237806,,LIFT3-F6
STAIRS1-F6,F6,stair,503.444634,928.621967,,STAIRS1-F6
STAIRS2-F6,F6,stair,505.167269,726.029009,,STAIRS2-F6
STAIRS3-F6,F6,stair,433.255770,361.941129,,STAIRS3-F6
ellipse10,F6,corridor,502.099923,1306.950315,,ellipse10
ellipse14309,F6,corridor,445.256326,1221.817257,,ellipse14309
ellipse14310,F6,corridor,518.037662,1297.714636,,ellipse14310
ellipse14311,F6,corridor,537.990163,1274.016395,,ellipse14311
ellipse14321,F6,corridor,438.510262,564.078601,,ellipse14321
ellipse14323,F6,corridor,360.211307,395.735502,,ellipse14323
ellipse33,F6,corridor,471.188841,967.725027,,ellipse33
ellipse34,F6,corridor,474.462777,682.489801,,ellipse34
ellipse35,F6,corridor,471.502207,884.345597,,ellipse35
ellipse36,F6,corridor,470.155632,766.825989,,ellipse36
ellipse37,F6,corridor,313.761494,880.857293,,ellipse37
ellipse38,F6,corridor,310.755744,1044.963661,,ellipse38
ellipse43,F6,corridor,431.750710,1059.096826,,ellipse43
ellipse44,F6,corridor,436.005781,591.129250,,ellipse44
ellipse45,F6,corridor,439.834148,428.042265,,ellipse45
ellipse46,F6,corridor,434.906171,397.056385,,ellipse46
ellipse47,F6,corridor,323.347672,396.540116,,ellipse47
ellipse48,F6,corridor,318.850564,551.578498,,ellipse48
ellipse49,F6,corridor,316.250662,716.377802,,ellipse49
ellipse50,F6,corridor,317.758801,766.120729,,ellipse50
ellipse53,F6,corridor,419.693216,1172.165922,,ellipse53
ellipse54,F6,corridor,302.811264,1216.108118,,ellipse54
ellipse55,F6,corridor,296.426850,1258.012700,,ellipse55
631-1,F6,room,328.000000,1037.000000,631,631-1
637-1,F6,room,459.500000,428.000000,637,637-1
637-2,F6,room,458.000000,591.000000,637,637-2
641-1,F6,room,448.000000,1088.000000,641,641-1
641-2,F6,room,444.500000,1172.000000,641,641-2
ellipse641j,F6,corridor,431.000000,1088.000000,,ellipse641j
