node_id,floor_id,node_type,x,y,location_id,source_svg_id
421,F4,room,431.008885,1238.301229,421,421
422,F4,room,293.846348,1318.464120,422,422
423,F4,room,262.570358,1256.880828,423,423
424,F4,room,283.724964,1218.219311,424,424
425,F4,room,283.412624,1045.604799,425,425
426,F4,room,285.015229,880.724261,426,426
427,F4,room,288.593477,717.956545,427,427
429,F4,room,289.220251,551.197687,429,429
430,F4,room,274.725833,402.897926,430,430
431,F4,room,458.962779,397.167714,431,431
434-1,F4,room,493.279872,757.494815,434,434-1
LIFT1-F4,F4,lift,360.038171,413.532503,,LIFT1-F4
LIFT2-F4,F4,lift,476.798996,621.549743,,LIFT2-F4
LIFT3-F4,F4,lift,472.016223,1036.237806,,LIFT3-F4
STAIRS1-F4,F4,stair,503.444634,928.621967,,STAIRS1-F4
STAIRS2-F4,F4,stair,505.167269,726.029009,,STAIRS2-F4
STAIRS3-F4,F4,stair,433.255770,361.941129,,STAIRS3-F4
F4C001,F4,corridor,502.099923,1306.950315,,F4C001
F4C002,F4,corridor,445.256326,1221.817257,,F4C002
F4C003,F4,corridor,518.037662,1297.714636,,F4C003
F4C004,F4,corridor,537.990163,1274.016395,,F4C004
F4C005,F4,corridor,438.510262,564.078601,,F4C005
F4C006,F4,corridor,360.211307,395.735502,,F4C006
F4C007,F4,corridor,660.317123,827.681753,,F4C007
F4C008,F4,corridor,657.959252,967.614247,,F4C008
F4C009,F4,corridor,655.204596,687.714755,,F4C009
F4C010,F4,corridor,471.188841,967.725027,,F4C010
F4C011,F4,corridor,474.462777,682.489801,,F4C011
F4C012,F4,corridor,471.502207,884.345597,,F4C012
F4C013,F4,corridor,470.155632,766.825989,,F4C013
F4C014,F4,corridor,313.761494,880.857293,,F4C014
F4C015,F4,corridor,310.755744,1044.963661,,F4C015
F4C016,F4,corridor,431.750710,1059.096826,,F4C016
F4C017,F4,corridor,436.005781,591.129250,,F4C017
F4C018,F4,corridor,439.834148,428.042265,,F4C018
F4C019,F4,corridor,434.906171,397.056385,,F4C019
F4C020,F4,corridor,323.347672,396.540116,,F4C020
F4C021,F4,corridor,318.850564,551.578498,,F4C021
F4C022,F4,corridor,316.250662,716.377802,,F4C022
F4C023,F4,corridor,317.758801,766.120729,,F4C023
F4C024,F4,corridor,293.267371,826.227063,,F4C024
F4C025,F4,corridor,419.693216,1172.165922,,F4C025
F4C026,F4,corridor,302.811264,1216.108118,,F4C026
F4C027,F4,corridor,296.426850,1258.012700,,F4C027
428-1,F4,room,331.200000,716.800000,428,428-1
428-2,F4,room,410.400000,716.800000,428,428-2
432-1,F4,room,445.200000,428.133300,432,432-1
432-2,F4,room,445.200000,569.066700,432,432-2
434-2,F4,room,493.000000,895.500000,434,434-2
434-A,F4,room,648.000000,749.733300,434-A,434-A
436-1,F4,room,445.200000,1096.000000,436,436-1
436-2,F4,room,442.000000,1183.466700,436,436-2
F4C428R,F4,corridor,438.000000,716.800000,,F4C428R
F4C434A,F4,corridor,657.000000,749.733300,,F4C434A
F4C436,F4,corridor,432.000000,1096.000000,,F4C436
