node_id,floor_id,node_type,x,y,location_id,source_svg_id
335,F3,room,220.000000,145.000000,335,335
334,F3,room,220.000000,235.000000,334,334
333,F3,room,220.000000,385.000000,333,333
332,F3,room,220.000000,535.000000,332,332
330,F3,room,220.000000,685.000000,330,330
329,F3,room,220.000000,815.000000,329,329
328,F3,room,185.000000,910.000000,328,328
327,F3,room,192.500000,965.000000,327,327
336,F3,room,430.000000,147.391300,336,336
337,F3,room,390.000000,260.000000,337,337
339,F3,room,385.000000,590.000000,339,339
331,F3,room,255.000000,685.000000,331,331
341,F3,room,350.000000,900.000000,341,341
STAIRS3-F3,F3,stair,280.000000,168.000000,,STAIRS3-F3
LIFT1-F3,F3,lift,275.000000,220.000000,,LIFT1-F3
LIFT2-F3,F3,lift,390.000000,405.000000,,LIFT2-F3
STAIRS2-F3,F3,stair,390.000000,475.000000,,STAIRS2-F3
STAIRS1-F3,F3,stair,390.000000,705.000000,,STAIRS1-F3
LIFT3-F3,F3,lift,350.000000,830.000000,,LIFT3-F3
W0,F3,corridor,230.000000,145.000000,,W0
W1,F3,corridor,230.000000,235.000000,,W1
W2,F3,corridor,230.000000,385.000000,,W2
W3,F3,corridor,230.000000,535.000000,,W3
WC,F3,corridor,230.000000,630.000000,,WC
W4,F3,corridor,230.000000,685.000000,,W4
W5,F3,corridor,230.000000,815.000000,,W5
W6,F3,corridor,230.000000,910.000000,,W6
W7,F3,corridor,230.000000,965.000000,,W7
CT,F3,corridor,250.000000,180.000000,,CT
T1,F3,corridor,250.000000,260.000000,,T1
E0,F3,corridor,395.000000,155.000000,,E0
E1,F3,corridor,365.000000,260.000000,,E1
E2,F3,corridor,365.000000,405.000000,,E2
E3,F3,corridor,365.000000,475.000000,,E3
E4,F3,corridor,365.000000,590.000000,,E4
EC,F3,corridor,365.000000,630.000000,,EC
E5,F3,corridor,365.000000,705.000000,,E5
Q0,F3,corridor,347.000000,780.000000,,Q0
Q1,F3,corridor,347.000000,825.000000,,Q1
Q2,F3,corridor,340.000000,885.000000,,Q2
