edge_id,floor_id,from_node,to_node,distance_m,edge_type,accessible,bidirectional
E0001,F5,ellipse33,ellipse35,2.2225,corridor,1,1
E0002,F5,ellipse35,ellipse36,3.1221,corridor,1,1
E0003,F5,ellipse36,ellipse34,2.2225,corridor,1,1
E0004,F5,ellipse35,STAIRS1-F5,2.2063,stair,0,1
E0005,F5,ellipse33,STAIRS1-F5,2.1353,stair,0,1
E0006,F5,ellipse36,STAIRS2-F5,2.1827,stair,0,1
E0007,F5,ellipse34,STAIRS2-F5,2.2367,stair,0,1
E0008,F5,ellipse35,ellipse37,3.6257,corridor,1,1
E0009,F5,ellipse37,ellipse50,3.0427,corridor,1,1
E0010,F5,ellipse50,ellipse49,1.2700,corridor,1,1
E0011,F5,ellipse49,532,0.1852,room_access,1,1
E0012,F5,ellipse36,ellipse50,3.6248,corridor,1,1
E0013,F5,ellipse33,LIFT3-F5,2.0797,lift,1,1
E0014,F5,ellipse33,ellipse43,2.6092,corridor,1,1
E0015,F5,ellipse43,ellipse541j,0.7673,corridor,1,1
E0016,F5,ellipse541j,ellipse53,2.2225,corridor,1,1
E0017,F5,ellipse53,ellipse54,2.8773,corridor,1,1
E0018,F5,ellipse54,529,0.3270,room_access,1,1
E0019,F5,ellipse54,ellipse55,1.0852,corridor,1,1
E0020,F5,ellipse55,528,0.8848,room_access,1,1
E0021,F5,ellipse55,527,1.6019,room_access,1,1
E0022,F5,ellipse54,ellipse38,4.5508,corridor,1,1
E0023,F5,ellipse38,530,0.3344,room_access,1,1
E0024,F5,ellipse38,ellipse37,4.3392,corridor,1,1
E0025,F5,ellipse53,ellipse14309,1.8723,corridor,1,1
E0026,F5,ellipse14309,526,0.5766,room_access,1,1
E0027,F5,ellipse34,LIFT2-F5,1.9751,lift,1,1
E0028,F5,ellipse34,ellipse44,2.4056,corridor,1,1
E0029,F5,ellipse44,ellipse14321,0.7188,corridor,1,1
E0030,F5,ellipse14321,ellipse45,3.5995,corridor,1,1
E0031,F5,ellipse45,ellipse46,0.8301,corridor,1,1
E0032,F5,ellipse46,STAIRS3-F5,0.9301,stair,0,1
E0033,F5,ellipse46,ellipse14323,1.9766,corridor,1,1
E0034,F5,ellipse14323,LIFT1-F5,0.4709,lift,1,1
E0035,F5,ellipse14323,ellipse47,0.9756,corridor,1,1
E0036,F5,ellipse47,535,1.2958,room_access,1,1
E0037,F5,ellipse47,536,3.3775,room_access,1,1
E0038,F5,ellipse47,ellipse48,4.1593,corridor,1,1
E0039,F5,ellipse48,534,0.2865,room_access,1,1
E0040,F5,ellipse48,ellipse49,4.3934,corridor,1,1
E0041,F5,ellipse37,531,0.2910,room_access,1,1
E0042,F5,537-1,ellipse45,0.2954,room_access,1,1
E0043,F5,537-2,ellipse44,0.3967,room_access,1,1
E0044,F5,541-1,ellipse541j,0.3969,room_access,1,1
E0045,F5,541-2,ellipse53,0.3969,room_access,1,1
E0046,F5,533-1,ellipse49,0.2117,room_access,1,1
E0047,F5,533-2,ellipse533r,0.5556,room_access,1,1
E0048,F5,ellipse44,ellipse533r,3.3569,corridor,1,1
E0049,F5,ellipse533r,ellipse36,1.2711,corridor,1,1
E0050,F5,539-1,ellipse36,0.6735,room_access,1,1
E0051,F5,539-2,ellipse35,0.4762,room_access,1,1
E0052,F5,538,538-door,0.7964,room_access,1,1
E0053,F5,538-door,ellipse34,2.1509,corridor,1,1
