node_id,floor_id,node_type,x,y,location_id,source_svg_id
526,F5,room,431.000000,1238.300000,526,526
527,F5,room,293.800000,1318.500000,527,527
528,F5,room,263.000000,1257.000000,528,528
529,F5,room,283.700000,1218.200000,529,529
530,F5,room,283.400000,1046.000000,530,530
531,F5,room,285.000000,881.000000,531,531
532,F5,room,289.000000,718.000000,532,532
534,F5,room,289.200000,551.200000,534,534
535,F5,room,274.800000,403.000000,535,535
536,F5,room,451.000000,397.200000,536,536
LIFT1-F5,F5,lift,360.038171,413.532503,,LIFT1-F5
LIFT2-F5,F5,lift,476.798996,621.549743,,LIFT2-F5
LIFT3-F5,F5,lift,472.016223,1036.237806,,LIFT3-F5
STAIRS1-F5,F5,stair,503.444634,928.621967,,STAIRS1-F5
STAIRS2-F5,F5,stair,505.167269,726.029009,,STAIRS2-F5
STAIRS3-F5,F5,stair,433.255770,361.941129,,STAIRS3-F5
ellipse14309,F5,corridor,445.256326,1221.817257,,ellipse14309
ellipse14321,F5,corridor,438.510262,564.078601,,ellipse14321
ellipse14323,F5,corridor,360.211307,395.735502,,ellipse14323
ellipse33,F5,corridor,433.000000,968.000000,,ellipse33
ellipse34,F5,corridor,433.000000,682.000000,,ellipse34
ellipse35,F5,corridor,433.000000,884.000000,,ellipse35
ellipse36,F5,corridor,433.000000,766.000000,,ellipse36
ellipse37,F5,corridor,296.000000,881.000000,,ellipse37
ellipse38,F5,corridor,296.000000,1045.000000,,ellipse38
ellipse43,F5,corridor,395.000000,1059.000000,,ellipse43
ellipse44,F5,corridor,436.005781,591.129250,,ellipse44
ellipse45,F5,corridor,439.834148,428.042265,,ellipse45
ellipse46,F5,corridor,434.906171,397.056385,,ellipse46
ellipse47,F5,corridor,323.347672,396.540116,,ellipse47
ellipse48,F5,corridor,316.000000,552.000000,,ellipse48
ellipse49,F5,corridor,316.000000,718.000000,,ellipse49
ellipse50,F5,corridor,296.000000,766.000000,,ellipse50
ellipse53,F5,corridor,395.000000,1172.000000,,ellipse53
ellipse54,F5,corridor,296.000000,1217.000000,,ellipse54
ellipse55,F5,corridor,296.426850,1258.012700,,ellipse55
537-1,F5,room,451.000000,428.000000,537,537-1
537-2,F5,room,451.000000,591.000000,537,537-2
541-1,F5,room,410.000000,1088.000000,541,541-1
541-2,F5,room,410.000000,1172.000000,541,541-2
ellipse541j,F5,corridor,395.000000,1088.000000,,ellipse541j
533-1,F5,room,304.000000,718.000000,533,533-1
533-2,F5,room,414.000000,718.000000,533,533-2
ellipse533r,F5,corridor,435.000000,718.000000,,ellipse533r
539-1,F5,room,451.000000,748.000000,539,539-1
539-2,F5,room,451.000000,884.000000,539,539-2
538,F5,room,553.500000,653.500000,538,room-538-route
538-door,F5,corridor,553.500000,683.600000,,room-538-door
