edge_id,floor_id,from_node,to_node,distance_m,edge_type,accessible,bidirectional
E0001,G,ENTRANCE1-G,ellipse28,2.2878,corridor,1,1
E0002,G,ellipse33,ellipse31,4.8470,corridor,1,1
E0003,G,ellipse31,ellipse28,3.7096,corridor,1,1
E0004,G,ellipse28,ellipse35,5.1183,corridor,1,1
E0005,G,ellipse28,ellipse36,5.1994,corridor,1,1
E0006,G,ellipse33,ellipse35,2.2102,corridor,1,1
E0007,G,ellipse35,ellipse36,3.1156,corridor,1,1
E0008,G,ellipse35,STAIRS1,1.4402,stair,0,1
E0009,G,ellipse36,STAIRS2-G,1.4092,stair,0,1
E0010,G,ellipse35,ellipse37,4.0951,corridor,1,1
E0011,G,ellipse50,ellipse52,1.7126,corridor,1,1
E0012,G,ellipse52,ellipse37,1.5451,corridor,1,1
E0013,G,ellipse37,ellipse50,3.0428,corridor,1,1
E0014,G,ellipse50,ellipse49,1.3194,corridor,1,1
E0015,G,G33,ellipse49,0.7188,room_access,1,1
E0016,G,ENTRANCE2-G,ellipse52,3.1046,corridor,1,1
E0017,G,ellipse36,ellipse50,3.9551,corridor,1,1
E0018,G,LIFT1-G,ellipse33,1.8164,lift,1,1
E0019,G,ellipse33,ellipse43,2.6250,corridor,1,1
E0020,G,ellipse43,G41-1,1.0156,room_access,1,1
E0021,G,ellipse43,ellipse53,3.0121,corridor,1,1
E0022,G,ellipse53,G41-2,1.0301,room_access,1,1
E0023,G,ellipse53,ellipse54,3.2441,corridor,1,1
E0024,G,ellipse54,G31,0.4982,room_access,1,1
E0025,G,G30,ellipse55,0.8793,room_access,1,1
E0026,G,ellipse55,ellipse54,1.1223,corridor,1,1
E0027,G,ellipse54,ellipse38,4.5405,corridor,1,1
E0028,G,ellipse38,G32,0.7097,room_access,1,1
E0029,G,ellipse53,ellipse14309,1.4768,corridor,1,1
E0030,G,ellipse14309,G28,0.5711,room_access,1,1
E0031,G,ellipse14309,ellipse14311,2.7818,corridor,1,1
E0032,G,ellipse14311,ellipse14310,0.8122,corridor,1,1
E0033,G,ellipse14310,ellipse10,0.4796,corridor,1,1
E0034,G,ellipse55,G29,1.6036,room_access,1,1
E0035,G,ellipse38,ellipse37,4.3506,corridor,1,1
E0036,G,ellipse28,ellipse32,3.7133,corridor,1,1
E0037,G,ellipse32,ellipse34,4.6933,corridor,1,1
E0038,G,ellipse34,STAIRS2-G,1.4057,stair,0,1
E0039,G,ellipse36,ellipse34,2.2379,corridor,1,1
E0040,G,ellipse34,G39,1.9399,room_access,1,1
E0041,G,LIFT2-G,ellipse34,1.6163,lift,1,1
E0042,G,ellipse34,ellipse44,2.6238,corridor,1,1
E0043,G,ellipse44,ellipse14321,0.7197,corridor,1,1
E0044,G,ellipse14321,G37-1,0.6216,room_access,1,1
E0045,G,ellipse14321,ellipse45,3.6061,corridor,1,1
E0046,G,ellipse45,G37-2,0.5818,room_access,1,1
E0047,G,ellipse45,ellipse46,0.8319,corridor,1,1
E0048,G,ellipse46,STAIRS3-G,0.9320,stair,0,1
E0049,G,ellipse46,ellipse14323,1.9390,corridor,1,1
E0050,G,ellipse14323,LIFT3-G,0.4718,lift,1,1
E0051,G,ellipse14323,ellipse47,0.9568,corridor,1,1
E0052,G,ellipse47,G35,1.2722,room_access,1,1
E0053,G,ellipse47,ellipse48,4.1109,corridor,1,1
E0054,G,ellipse48,G34,0.7691,room_access,1,1
E0055,G,ellipse48,ellipse49,4.3688,corridor,1,1
E0056,G,STAIRS1,ellipse33,1.3292,stair,0,1
E0057,G,ellipse14329,ellipse49,1.0210,corridor,1,1
